"RANK","LAST","ON","TITOLO","ARTISTA","ETICHETTA","DISTRIBUTORE",
1,4,6,"MILANO DEMONS","SHIVA","MILANO OVEST/COLUMBIA","SONY MUSIC"
2,2,39,"SIRIO","LAZZA","ISLAND","UNIVERSAL MUSIC"
3,1,5,"FAKE NEWS","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
4,6,14,"C@RA++ERE S?EC!@LE","THASUP","ARISTA/COLUMBIA","SONY MUSIC"
5,9,7,"IO NON HO PAURA","ERNIA","ISLAND","UNIVERSAL MUSIC"
6,8,59,"NOI, LORO, GLI ALTRI DELUXE","MARRACASH","ISLAND","UNIVERSAL MUSIC"
7,10,45,"IL GIORNO IN CUI HO SMESSO DI PENSARE","IRAMA","ATLANTIC","WARNER MUSIC"
8,14,6,"RAVE, ECLISSI","TANANAI","CAPITOL","UNIVERSAL MUSIC"
9,17,88,"TAXI DRIVER","RKOMI","ISLAND","UNIVERSAL MUSIC"
10,19,58,"DISUMANO","FEDEZ","COLUMBIA","SONY MUSIC"
11,18,43,"SALVATORE","PAKY","ISLAND","UNIVERSAL MUSIC"
12,20,35,"UN VERANO SIN TI","BAD BUNNY","RIMAS ENTERTAINMENT LLC","THE ORCHARD"
13,16,57,"MATERIA (PELLE)","MARCO MENGONI","EPIC","SONY MUSIC"
14,25,16,"BOTOX","NIGHT SKINNY","ISLAND","UNIVERSAL MUSIC"
15,29,69,"BLU CELESTE","BLANCO","ISLAND","UNIVERSAL MUSIC"
16,11,109,"AHIA!","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
17,24,5,"HEROES & VILLIANS","METRO BOOMIN","REPUBLIC RECORDS","UNIVERSAL MUSIC"
18,5,7,"CANZONI DA INTORTO","FRANCESCO GUCCINI","BMG RIGHTS MANAGEMENT","UNIVERSAL MUSIC"
19,22,33,"HARRY'S HOUSE","HARRY STYLES","COLUMBIA","SONY MUSIC"
20,23,11,"MIDNIGHTS","TAYLOR SWIFT","ISLAND","UNIVERSAL MUSIC"
21,28,166,"PERSONA","MARRACASH","ISLAND","UNIVERSAL MUSIC"
22,36,17,"SOTTOZERO","ICY SUBZERO","MATTEO D'ALESSIO","SONY MUSIC"
23,38,31,"HUSTLE MIXTAPE","CAPO PLAZA","PLAZA MUSIC/ATLANTIC","WARNER MUSIC"
24,13,4,"IL DISCO DEL SOLE","JOVANOTTI","CAPITOL","UNIVERSAL MUSIC"
25,31,52,"X2 DELUXE","SICK LUKE","CAROSELLO","UNIVERSAL MUSIC"
26,34,9,"TRENCHES BABY","RONDODASOSA","REAL MUSIC/WM ITALY","WARNER MUSIC"
27,43,111,"FAMOSO","SFERA EBBASTA","ISLAND","UNIVERSAL MUSIC"
28,35,40,"DOVE VOLANO LE AQUILE","LUCHE'","COLUMBIA","SONY MUSIC"
29,41,201,"RE MIDA (AURUM)","LAZZA","ISLAND","UNIVERSAL MUSIC"
30,45,61,"RIVOLUZIONE","ROCCO HUNT","EPIC","SONY MUSIC"
31,44,44,"ORO BLU","BRESH","EPIC","SONY MUSIC"
32,39,146,"AFTER HOURS","THE WEEKND","ISLAND","UNIVERSAL MUSIC"
33,46,27,"GI?","NEIMA EZZA","EPIC","SONY MUSIC"
34,26,94,"TEATRO D'IRA - VOL. I","MÅNESKIN","EPIC","SONY MUSIC"
35,37,27,"AM","ARCTIC MONKEYS","DOMINO","SELF"
36,42,63,"SOLO","ULTIMO","ULTIMO RECORDS","BELIEVE"
37,58,106,"ROCKSTAR (POPSTAR EDITION)","SFERA EBBASTA","ISLAND/DEF JAM RECORDINGS","UNIVERSAL MUSIC"
38,55,196,"FUORI DALL'HYPE","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
39,52,133,"GEMELLI-ASCENDENTE MILANO","ERNIA","ISLAND","UNIVERSAL MUSIC"
40,50,17,"MOTOMAMI","ROSALIA","COLUMBIA","SONY MUSIC"
41,3,7,"CHRISTMAS","MICHAEL BUBLE'","WARNER RECORDS","WARNER MUSIC"
42,62,6,"PLC TAPE 1","FRED DE PALMA","WARNER RECORDS","WARNER MUSIC"
43,54,70,"MERCURY ACT 1&2","IMAGINE DRAGONS","VIRGIN","UNIVERSAL MUSIC"
44,56,42,"CAOS","FABRI FIBRA","EPIC","SONY MUSIC"
45,21,8,"IL MONDO E' NOSTRO","TIZIANO FERRO ","VIRGIN","UNIVERSAL MUSIC"
46,65,24,"SFERA EBBASTA","SFERA EBBASTA","ISLAND / DEFJAM RECORDINGS","UNIVERSAL MUSIC"
47,74,8,"ELEVATION","BLACK EYED PEAS","EPIC","SONY MUSIC"
48,63,4,"SOS","SZA","RCA RECORDS LABEL","SONY MUSIC"
49,51,24,"STARBOY","THE WEEKND","UNIVERSAL INT. MUSIC","UNIVERSAL MUSIC"
50,59,66,"FLOP","SALMO","COLUMBIA","SONY MUSIC"
51,64,99,"OK UN CAZZO","GAZZELLE","MACISTE DISCHI/ARTIST FIRST","ARTIST FIRST"
52,32,12,"THE DARK SIDE OF THE MOON","PINK FLOYD","PARLOPHONE","WARNER MUSIC"
53,66,34,"ECLISSI","GEMITAIZ","TANTA ROBA LABEL/ISLAND","UNIVERSAL MUSIC"
54,69,57,"VOLARE","COEZ","CAROSELLO RECORDS","ARTIST FIRST/THE ORCHARD"
55,85,2,"EMANUELE (MARCHIO REGISTRATO)","GEOLIER","ISLAND","UNIVERSAL MUSIC"
56,72,217,"PLAYLIST","SALMO","EPIC","SONY MUSIC"
57,80,56,"GVESVS","GUÈ","ISLAND","UNIVERSAL MUSIC"
58,47,7,"THRILLER - 40TH ANNIVERSARY EDITION","MICHAEL JACKSON","EPIC","SONY MUSIC"
59,27,8,"ONLY THE STRONG SURVIVE","BRUCE SPRINGSTEEN ","COLUMBIA","SONY MUSIC"
60,79,164,"23 6451","THA SUPREME","ARISTA","SONY MUSIC"
61,75,23,"RENAISSANCE","BEYONCE","PARKWOOD ENTERTAINMENT/COLUMBI","SONY MUSIC"
62,77,9,"HER LOSS","DRAKE & 21 SAVAGE","ISLAND","UNIVERSAL MUSIC"
63,82,28,"POTERE (IL GIORNO DOPO)","LUCHÈ","ISLAND","UNIVERSAL MUSIC"
64,81,50,"BELLA VITA","NIKO PANDETTA","N.P. PRODUCTION","ADA"
65,84,2,"DARK LOVE EP","SHIVA","MILANO OVEST/COLUMBIA","SONY MUSIC"
66,70,62,"=","ED SHEERAN","ASYLUM/ATLANTIC UK","WARNER MUSIC"
67,"NEW",1,"THE LOCKDOWN SESSIONS","ELTON JOHN","CAPITOL","UNIVERSAL MUSIC"
68,98,2,"SENSAZIONE ULTRA","GHALI","STO RECORDS/ATLANTIC","WARNER MUSIC"
69,92,2,"CADERE VOLARE","SANGIOVANNI","SUGAR","UNIVERSAL MUSIC"
70,"NEW",1,"÷","ED SHEERAN","ATLANTIC","WARNER MUSIC"
71,83,2,"A STAR IS BORN (O.S.T.)","LADY GAGA & BRADLEY COOPER","VIRGIN","UNIVERSAL MUSIC"
72,87,8,"TUTTO ACCADE","ALESSANDRA AMOROSO","EPIC","SONY MUSIC"
73,76,97,"IL BALLO DELLA VITA","MÅNESKIN","EPIC","SONY MUSIC"
74,99,135,"VITA VERA - MIXTAPE, ASPETTANDO LA DIVINA COMMEDIA","TEDUA","EPIC","SONY MUSIC"
75,"NEW",1,"20","CAPO PLAZA","PLAZA MUSIC/STO RECORDS/ATLANTIC","WARNER MUSIC"
76,"NEW",1,"NEI SOGNI NESSUNO E' MONOGAMO","DARGEN D'AMICO","ISLAND","UNIVERSAL MUSIC"
77,49,8,"FAITH IN THE FUTURE","LOUIS TOMLINSON","BMG RIGHTS MANAGEMENT","WARNER MUSIC"
78,"NEW",1,"IL MEGLIO DELLO ZECCHINO D'ORO","ARTISTI VARI","ZECCHINO D'ORO","SONY MUSIC"
79,"NEW",1,"FACCIO UN CASINO","COEZ","UNDAMENTO","SELF"
80,86,33,"COLPA DELLE FAVOLE","ULTIMO","HONIRO","BELIEVE"
81,"NEW",1,"PLAZA (DELUXE EDITION)","CAPO PLAZA","PLAZA MUSIC/ATLANTIC","WARNER MUSIC"
82,96,3,"REGARDEZ MOI","FRAH QUINTALE","UNDAMENTO","SELF"
83,"NEW",1,"BORN THIS WAY","LADY GAGA","INTERSCOPE","UNIVERSAL MUSIC"
84,"NEW",1,"MADAME","MADAME","SUGAR","UNIVERSAL MUSIC"
85,"NEW",1,"MACHETE MIXTAPE 4","MACHETE","EPIC","SONY MUSIC"
86,"NEW",1,"PETER PAN","ULTIMO","HONIRO","BELIEVE"
