"RANK","LAST","ON","TITOLO","ARTISTA","ETICHETTA","DISTRIBUTORE",
1,2,22,"QUEVEDO: BZRP MUSIC SESSIONS, VOL. 52","BIZARRAP & QUEVEDO","DALE PLAY RECORDS","THE ORCHARD"
2,9,6,"NON LO SAI","SHIVA","MILANO OVEST/COLUMBIA","SONY MUSIC"
3,12,15,"RICORDI","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
4,10,39,"PANICO","LAZZA, TAKAGI & KETRA","ISLAND","UNIVERSAL MUSIC"
5,26,32,"FERRARI","JAMES HYPE & MIGGY DELA ROSA FEAT. LAZZA ","CAPITOL/ISLAND","UNIVERSAL MUSIC"
6,20,26,"SNAP","ROSA LINN","COLUMBIA","SONY MUSIC"
7,23,18,"BELLISSIMA","ANNALISA","WARNER RECORDS","WARNER MUSIC"
8,22,10,"CHIAGNE","GEOLIER FEAT. LAZZA, TAKAGI & KETRA","COLUMBIA","SONY MUSIC"
9,19,6,"ALLELUIA","SHIVA FEAT. SFERA EBBASTA","MILANO OVEST/COLUMBIA","SONY MUSIC"
10,40,19,"I'M GOOD (BLUE)","DAVID GUETTA & BEBE REXHA","PARLOPHONE UK","WARNER MUSIC"
11,29,12,"ABISSALE","TANANAI","CAPITOL","UNIVERSAL MUSIC"
12,32,32,"GIOVANI WANNABE","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
13,27,14,"!LY","THASUP FEAT. COEZ","ARISTA/COLUMBIA","SONY MUSIC"
14,35,13,"THE LONELIEST","MÅNESKIN","EPIC","SONY MUSIC"
15,44,15,"UNHOLY","SAM SMITH & KIM PETRAS","CAPITOL","UNIVERSAL MUSIC"
16,34,25,"S!R!","THASUP FEAT. LAZZA & SFERA EBBASTA","ARISTA/COLUMBIA/ISLAND","SONY MUSIC"
17,43,31,"CAPRI SUN","CAPO PLAZA","PLAZA MUSIC/ATLANTIC","WARNER MUSIC"
18,48,26,"TITÍ ME PREGUNTÓ","BAD BUNNY","RIMAS ENTERTAINMENT LLC","THE ORCHARD"
19,39,12,"VIOLA","FEDEZ FEAT. SALMO","COLUMBIA","SONY MUSIC"
20,47,5,"BLOODY MARY","LADY GAGA","INTERSCOPE","UNIVERSAL MUSIC"
21,33,39,"USCITO DI GALERA","LAZZA","ISLAND","UNIVERSAL MUSIC"
22,41,6,"A L I","IRAMA","ATLANTIC","WARNER MUSIC"
23,31,9,"TAKE 4","SHIVA","MILANO OVEST/COLUMBIA","SONY MUSIC"
24,5,70,"PASTELLO BIANCO","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
