"RANK","TITOLO","ARTISTA","ETICHETTA","DISTRIBUTORE"
1,"X CASO","GEOLIER FEAT. SFERA EBBASTA","COLUMBIA","SONY MUSIC"
2,"QUEVEDO: BZRP MUSIC SESSIONS, VOL. 52","BIZARRAP & QUEVEDO","DALE PLAY RECORDS","THE ORCHARD"
3,"MONDAY","GEOLIER FEAT. SHIVA & MICHELANGELO","COLUMBIA","SONY MUSIC"
4,"CHIAGNE","GEOLIER FEAT. LAZZA, TAKAGI & KETRA","COLUMBIA","SONY MUSIC"
5,"NON LO SAI","SHIVA","MILANO OVEST/COLUMBIA","SONY MUSIC"
6,"RICORDI","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
7,"PANICO","LAZZA, TAKAGI & KETRA","ISLAND","UNIVERSAL MUSIC"
8,"MONEY","GEOLIER","COLUMBIA","SONY MUSIC"
9,"COME VUOI","GEOLIER","COLUMBIA","SONY MUSIC"
10,"ME VULEV FA RUOSS","GEOLIER","COLUMBIA","SONY MUSIC"
11,"SNAP","ROSA LINN","COLUMBIA","SONY MUSIC"
12,"BELLISSIMA","ANNALISA","WARNER RECORDS","WARNER MUSIC"
13,"RICCHEZZA","GEOLIER","COLUMBIA","SONY MUSIC"
14,"NUN SE VER","GEOLIER FEAT. GUÈ","COLUMBIA","SONY MUSIC"
15,"FERRARI","JAMES HYPE & MIGGY DELA ROSA FEAT. LAZZA ","CAPITOL/ISLAND","UNIVERSAL MUSIC"
16,"A L I","IRAMA","ATLANTIC","WARNER MUSIC"
17,"LONELY","GEOLIER","COLUMBIA","SONY MUSIC"
18,"ABISSALE","TANANAI","CAPITOL","UNIVERSAL MUSIC"
19,"ALLELUIA","SHIVA FEAT. SFERA EBBASTA","MILANO OVEST/COLUMBIA","SONY MUSIC"
20,"I'M GOOD (BLUE)","DAVID GUETTA & BEBE REXHA","PARLOPHONE UK","WARNER MUSIC"
21,"MARADONA","GEOLIER","COLUMBIA","SONY MUSIC"
22,"POCO/TROPPO","GEOLIER","COLUMBIA","SONY MUSIC"
23,"I AM","GEOLIER","COLUMBIA","SONY MUSIC"
24,"UNHOLY","SAM SMITH & KIM PETRAS","CAPITOL","UNIVERSAL MUSIC"
25,"!LY","THASUP FEAT. COEZ","ARISTA/COLUMBIA","SONY MUSIC"
26,"THE LONELIEST","MÅNESKIN","EPIC","SONY MUSIC"
27,"GIOVANI WANNABE","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
28,"S!R!","THASUP FEAT. LAZZA & SFERA EBBASTA","ARISTA/COLUMBIA/ISLAND","SONY MUSIC"
29,"BLOODY MARY","LADY GAGA","VIRGIN","UNIVERSAL MUSIC"
30,"CAPRI SUN","CAPO PLAZA","PLAZA MUSIC/ATLANTIC","WARNER MUSIC"
31,"NAPO****NO","GEOLIER","COLUMBIA","SONY MUSIC"
32,"VIOLA","FEDEZ FEAT. SALMO","COLUMBIA","SONY MUSIC"
33,"NON CI TORNI PIÙ","GEOLIER FEAT. PAKY","COLUMBIA","SONY MUSIC"
34,"USCITO DI GALERA","LAZZA","ISLAND","UNIVERSAL MUSIC"
35,"CALM DOWN","REMA","VMLAS","UNIVERSAL MUSIC"
