"RANK","LAST","ON","TITOLO","ARTISTA","ETICHETTA","DISTRIBUTORE",
1,1,86,"THE DARK SIDE OF THE MOON","PINK FLOYD","PARLOPHONE","WARNER MUSIC"
2,5,6,"AM","ARCTIC MONKEYS","DOMINO","SELF"
3,3,5,"FAKE NEWS","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
4,4,7,"CANZONI DA INTORTO","FRANCESCO GUCCINI","BMG RIGHTS MANAGEMENT","UNIVERSAL MUSIC"
5,8,7,"THRILLER - 40TH ANNIVERSARY EDITION","MICHAEL JACKSON","EPIC","SONY MUSIC"
6,6,10,"NOI, LORO, GLI ALTRI DELUXE","MARRACASH","ISLAND","UNIVERSAL MUSIC"
7,14,3,"LEGEND","BOB MARLEY & THE WAILERS","USM","UNIVERSAL MUSIC"
8,19,2,"WISH YOU WERE HERE","PINK FLOYD","PARLOPHONE","WARNER MUSIC"
9,7,6,"HARRY'S HOUSE","HARRY STYLES","COLUMBIA","SONY MUSIC"
10,13,6,"TEATRO D'IRA - VOL. I","MÅNESKIN","EPIC","SONY MUSIC"
11,20,2,"ANIMALS","PINK FLOYD","PARLOPHONE","WARNER MUSIC"
12,"NEW",1,"REPUTATION","TAYLOR SWIFT","UNIVERSAL INT. MUSIC","UNIVERSAL MUSIC"
13,"NEW",1,"AFTER HOURS","THE WEEKND","ISLAND","UNIVERSAL MUSIC"
14,12,4,"MIDNIGHTS","TAYLOR SWIFT","ISLAND","UNIVERSAL MUSIC"
15,10,5,"THE WALL","PINK FLOYD","PARLOPHONE","WARNER MUSIC"
16,"NEW",1,"BACK IN BLACK","AC/DC","EPIC","SONY MUSIC"
17,17,2,"FAITH IN THE FUTURE","LOUIS TOMLINSON","BMG RIGHTS MANAGEMENT","WARNER MUSIC"
18,"NEW",1,"HARRY STYLES","HARRY STYLES","COLUMBIA","SONY MUSIC"
19,18,2,"RANDOM ACCESS MEMORIES","DAFT PUNK","COLUMBIA","SONY MUSIC"
20,"NEW",1,"ABBEY ROAD","THE BEATLES","UNIVERSAL STRATEGIC","UNIVERSAL MUSIC"
